1, Sydney, 1000000
2, Tokyo, 500000
3, Berlin, 200000
4, Sydney, 150000
5, Sydney, 200000
6, Tokyo, 700000000
7, Berlin, 300000000
8, Sydney, 200000000
9, New York City, 800000
10, London, 400000
11, Paris, 250000
12, Sydney, 300000
13, Beijing, 90000000
14, Moscow, 45000000
15, Sydney, 70000000
16, Tokyo, 1200000
17, Berlin, 600000
18, Sydney, 450000
19, Sydney, 600000
20, Tokyo, 1000000000
21, Berlin, 500000000
22, Sydney, 400000000
23, San Francisco, 700000
24, Sydney, 350000
25, Sydney, 400000
26, Tokyo, 900000000
27, Berlin, 400000000
28, Sydney, 300000000
29, Shanghai, 1100000
30, Paris, 550000
31, Rome, 300000
32, Sydney, 250000
33, Mumbai, 95000000
34, Seoul, 50000000
35, Sydney, 75000000
36, Tokyo, 1300000
37, Berlin, 650000
38, Sydney, 500000
39, Sydney, 650000
40, Tokyo, 1000000000
41, Berlin, 500000000
42, Sydney, 450000000
43, New York City, 900000
44, London, 600000
45, Paris, 350000
46, Sydney, 200000
47, Beijing, 85000000
48, Moscow, 40000000
49, Sydney, 65000000
50, Tokyo, 1400000
51, Berlin, 700000
52, Sydney, 550000
53, Sydney, 700000
54, Tokyo, 1000000000
55, Berlin, 600000000
56, Sydney, 500000000
57, San Francisco, 800000
58, Sydney, 400000
59, Sydney, 450000
60, Tokyo, 950000000
61, Berlin, 450000000
62, Sydney, 350000000
63, Shanghai, 1300000
64, Paris, 650000
65, Rome, 400000
66, Sydney, 300000
67, Mumbai, 100000000
68, Seoul, 55000000
69, Sydney, 80000000
70, Tokyo, 1500000
71, Berlin, 750000
72, Sydney, 600000
73, Sydney, 750000
74, Tokyo, 1000000000
75, Berlin, 650000000
76, Sydney, 550000000
77, New York City, 1000000
78, London, 650000
79, Paris, 400000
80, Sydney, 250000
81, Beijing, 80000000
82, Moscow, 35000000
83, Sydney, 60000000
84, Tokyo, 1600000
85, Berlin, 800000
86, Sydney, 650000
87, Sydney, 800000
88, Tokyo, 1000000000
89, Berlin, 700000000
90, Sydney, 600000000
91, San Francisco, 900000
92, Sydney, 450000
93, Sydney, 500000
94, Tokyo, 1000000000
95, Berlin, 500000000
96, Sydney, 400000000
97, Shanghai, 1500000
98, Paris, 700000
99, Rome, 450000
100, Sydney, 350000
101, Mumbai, 105000000
102, Seoul, 60000000
103, Sydney, 85000000
104, Tokyo, 1700000
105, Berlin, 850000
106, Sydney, 700000
107, Sydney, 850000
108, Tokyo, 1500000000
109, Berlin, 750000000
110, Sydney, 650000000
111, New York City, 1100000
112, London, 700000
113, Paris, 450000
114, Sydney, 300000
115, Beijing, 90000000
116, Moscow, 40000000
117, Sydney, 70000000
118, Tokyo, 1800000
119, Berlin, 900000
120, Sydney, 750000
121, Sydney, 900000
122, Tokyo, 1600000000
123, Berlin, 800000000
124, Sydney, 700000000
125, San Francisco, 1000000
126, Sydney, 500000
127, Sydney, 550000
128, Tokyo, 1100000000
129, Berlin, 550000000
130, Sydney, 450000000
131, Shanghai, 1700000
132, Paris, 800000
133, Rome, 500000
134, Sydney, 350000
135, Mumbai, 110000000
136, Seoul, 65000000
137, Sydney, 90000000
138, Tokyo, 1900000
139, Berlin, 950000
140, Sydney, 800000
141, Sydney, 950000
142, Tokyo, 1700000000
143, Berlin, 850000000
144, Sydney, 750000000
145, New York City, 1200000
146, London, 750000
147, Paris, 500000
148, Sydney, 400000
149, Beijing, 95000000
150, Moscow, 45000000
151, Sydney, 80000000
152, Tokyo, 2000000
153, Berlin, 1000000
154, Sydney, 850000
155, Sydney, 1000000
156, Tokyo, 1800000000
157, Berlin, 900000000
158, Sydney, 800000000
159, San Francisco, 1100000
160, Sydney, 550000
161, Sydney, 600000
162, Tokyo, 1200000000
163, Berlin, 600000000
164, Sydney, 500000000
165, Shanghai, 1900000
166, Paris, 900000
167, Rome, 550000
168, Sydney, 400000
169, Mumbai, 115000000
170, Seoul, 70000000
171, Sydney, 95000000
172, Tokyo, 2100000
173, Berlin, 1100000
174, Sydney, 900000
175, Sydney, 1050000
176, Tokyo, 1900000000
177, Berlin, 950000000
178, Sydney, 850000000
179, New York City, 1300000
180, London, 800000
181, Paris, 550000
182, Sydney, 350000
183, Beijing, 100000000
184, Moscow, 50000000
185, Sydney, 90000000
186, Tokyo, 2200000
187, Berlin, 1200000
188, Sydney, 950000
189, Sydney, 1100000
190, Tokyo, 200000000
191, Berlin, 1000000000
192, Sydney, 900000000
193, San Francisco, 1200000
194, Sydney, 600000
195, Sydney, 650000
196, Tokyo, 1300000000
197, Berlin, 650000000
198, Sydney, 550000000
199, Shanghai, 2100000
200, Paris, 950000
201, Rome, 600000
202, Sydney, 450000
203, Mumbai, 120000000
204, Seoul, 75000000
205, Sydney, 100000000
206, Tokyo, 2300000
207, Berlin, 1300000
208, Sydney, 1050000
209, Sydney, 1200000
210, Tokyo, 210000000
211, Berlin, 1100000000
212, Sydney, 950000000
213, New York City, 1400000
214, London, 850000
215, Paris, 600000
216, Sydney, 400000
217, Beijing, 105000000
218, Moscow, 55000000
219, Sydney, 95000000
220, Tokyo, 2400000
221, Berlin, 1400000
222, Sydney, 1000000
223, Sydney, 1250000
224, Tokyo, 220000000
225, Berlin, 1200000000
226, Sydney, 1000000000
227, San Francisco, 1300000
228, Sydney, 650000
229, Sydney, 700000
230, Tokyo, 1400000000
231, Berlin, 700000000
232, Sydney, 600000000
233, Shanghai, 2300000
234, Paris, 1000000
235, Rome, 650000
236, Sydney, 500000
237, Mumbai, 125000000
238, Seoul, 80000000
239, Sydney, 105000000
240, Tokyo, 2500000
241, Berlin, 1500000
242, Sydney, 1150000
243, Sydney, 1300000
244, Tokyo, 230000000
245, Berlin, 1300000000
246, Sydney, 1100000000
247, New York City, 1500000
248, London, 900000
249, Paris, 650000
250, Sydney, 450000
